MUNICIPIO,ID_VEREDA,EXIST_VER,FOTO_VER,MAT_baldos,MAT_horm,MAT_balat,MAT_otro,ITIN_ANCHO,FOTO_ITIN1,FOTO_ITIN2,FOTO_ITIN3,TRANSITAB,RIESG_PUNT,PEL_PUNZ,NUM_PUNZ,FOTO_PUN1,FOTO_PUN2,PEL_HUND,NUM_HUND,FOTO_HUN1,FOTO_HUN2,DESNIVEL,FOTO_DES,EXC_PEND,FOTO_PEN,VEHI_OBST,NUM_VEH_OB,FOTO_VHE1,FOTO_VHE2,OBS_MEN_PU,NUM_OBS_ME,FOTO_OBS1,FOTO_OBS2,ELE_ESPECI,ELE_bancos,ELE_monu,ELE_puntos,ELE_juegos,ELE_otros,ELE_otros1,RAMPAS,NUM_RAM,FOT_RAM1,FOT_RAM2,FOT_RAM3,RAM_DIF,FOT_DIF,PADV_RAM,PGUI_RAM,RAM_ENF,ALTURA_DEL,OBSERVACIO,ACCESIB100
C,"29702","2",,"1","0","0","0","2",,,1631200856215.jpg,"2","1","0",,,,"0",,,,"0",,"0",,"0",,,,"0",,,,"0",,,,,,,"0",,,,,,,,,,"4",,57.50
C,"29703","2",1631202496848.jpg,"1","0","0","0","1",,1631202519323.jpg,,"2","1","0",,,,"1","2",1631202548036.jpg,,"0",,"0",,"0",,,,"0",,,,"0",,,,,,,"0",,,,,,,,,,"4",,41.25
C,"29704","2",1631287384749.jpg,"1","0","1","0","2",,,1631287400215.jpg,"1","1","0",,,,"0",,,,"0",,"0",,"0",,,,"0",,,,"0",,,,,,,"0",,,,,,,,,,"3",,53.50
C,"29705","2",1631028333072.jpg,"1","0","0","0","2",,,1631028344396.jpg,"2","1","0",,,,"1","4",,,"0",,"0",,"0",,,,"0",,,,"0",,,,,,,"0",,,,,,,,,,"2",,58.75
C,"29706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29823","2",1635260138685.jpg,"1","0","0","0","2",,,1635260149142.jpg,"2","0",,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"0",,,,,,,,,,1=16   2=18,,57.50
C,"29824","2",1635258004735.jpg,"1","0","0","0","2",,,1635258052860.jpg,"2","1","0",,,,"1","1",,,"0",,"1",1635258087410.jpg,"0",,,,"0",,,,"0",,,,,,,"0",,,,,,,,,,1=16   2=15,,59.75
C,"29882","2",1634744234872.jpg,"1","0","0","0","2",,,1634744246465.jpg,"2","0",,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"1","1",1634744263800.jpg,,,"0",,"0","0","1","13",,77.50
C,"29883","2",1634743784699.jpg,"1","0","0","0","2",,,1634743800996.jpg,"1","1","0",,,,"0",,,,"0",,"0",,"0",,,,"0",,,,"0",,,,,,,"0",,,,,,,,,,1=16   2=17,,53.50
C,"29884","0",1634743425827.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No ahí vereda,0.00
